id,fastq
E3.5_Whole_embryo__GSM3494334,SRR8256258;SRR8256259;SRR8256260;SRR8256261;SRR8256262;SRR8256263;SRR8256264;SRR8256265
E3.5_Whole_embryo__GSM3494335,SRR8256266;SRR8256267;SRR8256268;SRR8256269;SRR8256270;SRR8256271;SRR8256272;SRR8256273
E4.5_Whole_embryo__GSM3494336,SRR8256274;SRR8256275;SRR8256276;SRR8256277;SRR8256278;SRR8256279;SRR8256280;SRR8256281
E4.5_Whole_embryo__GSM3494337,SRR8256282;SRR8256283;SRR8256284;SRR8256285;SRR8256286;SRR8256287;SRR8256288;SRR8256289
E5.5_Whole_embryo__GSM3494338,SRR8256290;SRR8256291;SRR8256292;SRR8256293;SRR8256294;SRR8256295;SRR8256296;SRR8256297
E5.5_Whole_embryo__GSM3494339,SRR8256298;SRR8256299;SRR8256300;SRR8256301;SRR8256302;SRR8256303;SRR8256304;SRR8256305
E5.5_Whole_embryo__GSM3494340,SRR8256306;SRR8256307;SRR8256308;SRR8256309;SRR8256310;SRR8256311;SRR8256312;SRR8256313
E6.5_Visceral_and_parietal_endoderm__GSM3494341,SRR8256314;SRR8256315;SRR8256316;SRR8256317;SRR8256318;SRR8256319;SRR8256320;SRR8256321
E6.5_Visceral_and_parietal_endoderm__GSM3494342,SRR8256322;SRR8256323;SRR8256324;SRR8256325;SRR8256326;SRR8256327;SRR8256328;SRR8256329
E7.5_Definitive_endoderm__GFP-__GSM3494348,SRR8256378;SRR8256379;SRR8256380;SRR8256381;SRR8256382;SRR8256383;SRR8256384;SRR8256385
E7.5_Definitive_endoderm__GFP-__GSM3494349,SRR8256386;SRR8256387;SRR8256388;SRR8256389;SRR8256390;SRR8256391;SRR8256392;SRR8256393
E7.5_Definitive_endoderm__GFP-__GSM3494350,SRR8256394;SRR8256395;SRR8256396;SRR8256397;SRR8256398;SRR8256399;SRR8256400;SRR8256401;SRR8256402;SRR8256403;SRR8256404;SRR8256405;SRR8256406;SRR8256407;SRR8256408;SRR8256409
E7.5_Parietal_endoderm__GSM3494343,SRR8256330;SRR8256331;SRR8256332;SRR8256333;SRR8256334;SRR8256335;SRR8256336;SRR8256337
E7.5_Parietal_endoderm__GSM3494344,SRR8256338;SRR8256339;SRR8256340;SRR8256341;SRR8256342;SRR8256343;SRR8256344;SRR8256345
E7.5_Visceral_endoderm__GFPpos__GSM3494345,SRR8256346;SRR8256347;SRR8256348;SRR8256349;SRR8256350;SRR8256351;SRR8256352;SRR8256353
E7.5_Visceral_endoderm__GFPpos__GSM3494346,SRR8256354;SRR8256355;SRR8256356;SRR8256357;SRR8256358;SRR8256359;SRR8256360;SRR8256361
E7.5_Visceral_endoderm__GFPpos__GSM3494347,SRR8256362;SRR8256363;SRR8256364;SRR8256365;SRR8256366;SRR8256367;SRR8256368;SRR8256369;SRR8256370;SRR8256371;SRR8256372;SRR8256373;SRR8256374;SRR8256375;SRR8256376;SRR8256377
E8.75_Anterior_gut__GSM3494359,SRR8256538
E8.75_Anterior_gut__GSM3494360,SRR8256539
E8.75_Definitive_endoderm__GFP-__GSM3494357,SRR8256506;SRR8256507;SRR8256508;SRR8256509;SRR8256510;SRR8256511;SRR8256512;SRR8256513;SRR8256514;SRR8256515;SRR8256516;SRR8256517;SRR8256518;SRR8256519;SRR8256520;SRR8256521
E8.75_Definitive_endoderm__GFP-__GSM3494358,SRR8256522;SRR8256523;SRR8256524;SRR8256525;SRR8256526;SRR8256527;SRR8256528;SRR8256529;SRR8256530;SRR8256531;SRR8256532;SRR8256533;SRR8256534;SRR8256535;SRR8256536;SRR8256537
E8.75_Parietal_endoderm__GSM3494351,SRR8256410;SRR8256411;SRR8256412;SRR8256413;SRR8256414;SRR8256415;SRR8256416;SRR8256417;SRR8256418;SRR8256419;SRR8256420;SRR8256421;SRR8256422;SRR8256423;SRR8256424;SRR8256425
E8.75_Parietal_endoderm__GSM3494352,SRR8256426;SRR8256427;SRR8256428;SRR8256429;SRR8256430;SRR8256431;SRR8256432;SRR8256433;SRR8256434;SRR8256435;SRR8256436;SRR8256437;SRR8256438;SRR8256439;SRR8256440;SRR8256441
E8.75_Posterior_gut__GSM3494361,SRR8256540
E8.75_Posterior_gut__GSM3494362,SRR8256541
E8.75_Visceral_endoderm__GFPpos__GSM3494355,SRR8256474;SRR8256475;SRR8256476;SRR8256477;SRR8256478;SRR8256479;SRR8256480;SRR8256481;SRR8256482;SRR8256483;SRR8256484;SRR8256485;SRR8256486;SRR8256487;SRR8256488;SRR8256489
E8.75_Visceral_endoderm__GFPpos__GSM3494356,SRR8256490;SRR8256491;SRR8256492;SRR8256493;SRR8256494;SRR8256495;SRR8256496;SRR8256497;SRR8256498;SRR8256499;SRR8256500;SRR8256501;SRR8256502;SRR8256503;SRR8256504;SRR8256505
E8.75_Yolk_sac_endoderm__GSM3494353,SRR8256442;SRR8256443;SRR8256444;SRR8256445;SRR8256446;SRR8256447;SRR8256448;SRR8256449;SRR8256450;SRR8256451;SRR8256452;SRR8256453;SRR8256454;SRR8256455;SRR8256456;SRR8256457
E8.75_Yolk_sac_endoderm__GSM3494354,SRR8256458;SRR8256459;SRR8256460;SRR8256461;SRR8256462;SRR8256463;SRR8256464;SRR8256465;SRR8256466;SRR8256467;SRR8256468;SRR8256469;SRR8256470;SRR8256471;SRR8256472;SRR8256473
