Gene stable ID	Mouse gene stable ID	Mouse gene name
ENSG00000000003	ENSMUSG00000067377	Tspan6
ENSG00000000005	ENSMUSG00000031250	Tnmd
ENSG00000000419	ENSMUSG00000078919	Dpm1
ENSG00000000419	ENSMUSG00000093752	Gm20716
ENSG00000000457	ENSMUSG00000026584	Scyl3
ENSG00000000460	ENSMUSG00000041406	BC055324
ENSG00000000938	ENSMUSG00000028874	Fgr
ENSG00000001036	ENSMUSG00000019810	Fuca2
ENSG00000001084	ENSMUSG00000032350	Gclc
ENSG00000001167	ENSMUSG00000023994	Nfya
ENSG00000001460	ENSMUSG00000028801	Stpg1
ENSG00000001461	ENSMUSG00000028803	Nipal3
ENSG00000001497	ENSMUSG00000057421	Las1l
ENSG00000001561	ENSMUSG00000023961	Enpp4
ENSG00000001617	ENSMUSG00000034684	Sema3f
ENSG00000001626	ENSMUSG00000041301	Cftr
ENSG00000001629	ENSMUSG00000040351	Ankib1
ENSG00000001630	ENSMUSG00000001467	Cyp51
ENSG00000001631	ENSMUSG00000000600	Krit1
ENSG00000002016	ENSMUSG00000030166	Rad52
ENSG00000002330	ENSMUSG00000024959	Bad
ENSG00000002549	ENSMUSG00000039682	Lap3
ENSG00000002587	ENSMUSG00000051022	Hs3st1
ENSG00000002726	ENSMUSG00000029811	Aoc1
ENSG00000002726	ENSMUSG00000029813	Doxl1
ENSG00000002726	ENSMUSG00000039215	Svs1
ENSG00000002726	ENSMUSG00000068536	Doxl2
ENSG00000002745	ENSMUSG00000029671	Wnt16
ENSG00000002746	ENSMUSG00000021301	Hecw1
ENSG00000002822	ENSMUSG00000029554	Mad1l1
ENSG00000002834	ENSMUSG00000038366	Lasp1
ENSG00000002919	ENSMUSG00000020876	Snx11
ENSG00000002933	ENSMUSG00000023367	Tmem176a
ENSG00000003056	ENSMUSG00000007458	M6pr
ENSG00000003096	ENSMUSG00000036782	Klhl13
ENSG00000003137	ENSMUSG00000063415	Cyp26b1
ENSG00000003147	ENSMUSG00000062995	Ica1
ENSG00000003249	ENSMUSG00000031970	Dbndd1
ENSG00000003393	ENSMUSG00000026024	Als2
ENSG00000003402	ENSMUSG00000026031	Cflar
ENSG00000003436	ENSMUSG00000027082	Tfpi
ENSG00000003509	ENSMUSG00000024082	Ndufaf7
ENSG00000003756	ENSMUSG00000032580	Rbm5
ENSG00000003987	ENSMUSG00000039431	Mtmr7
ENSG00000003989	ENSMUSG00000031596	Slc7a2
ENSG00000004059	ENSMUSG00000020440	Arf5
ENSG00000004139	ENSMUSG00000050132	Sarm1
ENSG00000004142	ENSMUSG00000001100	Poldip2
ENSG00000004399	ENSMUSG00000030123	Plxnd1
ENSG00000004455	ENSMUSG00000028792	Ak2
ENSG00000004468	ENSMUSG00000029084	Cd38
